"Gene_Id","padj","logFC","status","source_file"
"220686_s_at",0.000474,-1.7795338,"Downregulated","DEGs_Data_2.csv"
"235416_at",0.000474,-3.704878,"Downregulated","DEGs_Data_2.csv"
"239303_at",0.000474,-1.7396368,"Downregulated","DEGs_Data_2.csv"
"234367_x_at",0.000474,-3.6789345,"Downregulated","DEGs_Data_2.csv"
"207601_at",0.001045,-2.7548539,"Downregulated","DEGs_Data_2.csv"
"205509_at",0.001045,-3.5671766,"Downregulated","DEGs_Data_2.csv"
"1554628_at",0.001045,-1.4023165,"Downregulated","DEGs_Data_2.csv"
"203256_at",0.001103,3.2272292,"Upregulated","DEGs_Data_2.csv"
"1570445_a_at",0.001462,-4.5205678,"Downregulated","DEGs_Data_2.csv"
"210505_at",0.001462,-4.2682112,"Downregulated","DEGs_Data_2.csv"
"205941_s_at",0.001621,4.4626402,"Upregulated","DEGs_Data_2.csv"
"209366_x_at",0.001621,-1.3195692,"Downregulated","DEGs_Data_2.csv"
"217763_s_at",0.001621,1.6610577,"Upregulated","DEGs_Data_2.csv"
"228825_at",0.001621,-1.5798036,"Downregulated","DEGs_Data_2.csv"
"219543_at",0.001621,-2.6611743,"Downregulated","DEGs_Data_2.csv"
"227140_at",0.001621,4.5624785,"Upregulated","DEGs_Data_2.csv"
"219564_at",0.001621,-6.3451455,"Downregulated","DEGs_Data_2.csv"
"219313_at",0.001621,-1.168563,"Downregulated","DEGs_Data_2.csv"
"217764_s_at",0.001621,1.5137357,"Upregulated","DEGs_Data_2.csv"
"234095_at",0.001621,-1.1759052,"Downregulated","DEGs_Data_2.csv"
"215726_s_at",0.001621,-1.356913,"Downregulated","DEGs_Data_2.csv"
"225520_at",0.001621,1.8643835,"Upregulated","DEGs_Data_2.csv"
"1555175_a_at",0.001693,-2.1783733,"Downregulated","DEGs_Data_2.csv"
"204745_x_at",0.001693,-2.6264277,"Downregulated","DEGs_Data_2.csv"
"212354_at",0.001828,3.525713,"Upregulated","DEGs_Data_2.csv"
"1553797_a_at",0.001828,-3.300451,"Downregulated","DEGs_Data_2.csv"
"242546_at",0.001828,2.7391107,"Upregulated","DEGs_Data_2.csv"
"207843_x_at",0.001828,-1.1813114,"Downregulated","DEGs_Data_2.csv"
"223862_at",0.001828,-4.6658703,"Downregulated","DEGs_Data_2.csv"
"210511_s_at",0.001828,4.9973833,"Upregulated","DEGs_Data_2.csv"
"1554530_at",0.001828,-3.8488261,"Downregulated","DEGs_Data_2.csv"
"217762_s_at",0.001829,1.4688334,"Upregulated","DEGs_Data_2.csv"
"236118_at",0.001829,-3.5163465,"Downregulated","DEGs_Data_2.csv"
"206461_x_at",0.001931,-2.2223449,"Downregulated","DEGs_Data_2.csv"
"209213_at",0.002089,-1.363273,"Downregulated","DEGs_Data_2.csv"
"217546_at",0.002172,-4.9201424,"Downregulated","DEGs_Data_2.csv"
"227566_at",0.002223,2.5567101,"Upregulated","DEGs_Data_2.csv"
"230204_at",0.002223,-2.3291384,"Downregulated","DEGs_Data_2.csv"
"236513_at",0.002223,-1.5852041,"Downregulated","DEGs_Data_2.csv"
"237498_at",0.002223,-1.484926,"Downregulated","DEGs_Data_2.csv"
"229948_at",0.002223,-1.648897,"Downregulated","DEGs_Data_2.csv"
"223426_s_at",0.002223,-1.4109302,"Downregulated","DEGs_Data_2.csv"
"205160_at",0.002223,-1.1262702,"Downregulated","DEGs_Data_2.csv"
"1553678_a_at",0.002223,1.0840893,"Upregulated","DEGs_Data_2.csv"
"212344_at",0.002223,3.6029829,"Upregulated","DEGs_Data_2.csv"
"209309_at",0.002223,-2.9141497,"Downregulated","DEGs_Data_2.csv"
"223611_s_at",0.002223,-1.7225589,"Downregulated","DEGs_Data_2.csv"
"242775_at",0.002223,-1.328868,"Downregulated","DEGs_Data_2.csv"
"228201_at",0.002223,1.0221045,"Upregulated","DEGs_Data_2.csv"
"1556554_at",0.002223,-5.4444352,"Downregulated","DEGs_Data_2.csv"
"201438_at",0.002223,2.0585832,"Upregulated","DEGs_Data_2.csv"
"203773_x_at",0.002303,1.255682,"Upregulated","DEGs_Data_2.csv"
"226228_at",0.002353,-7.8413652,"Downregulated","DEGs_Data_2.csv"
"1564333_a_at",0.002353,-4.9340908,"Downregulated","DEGs_Data_2.csv"
"229802_at",0.002438,2.9533462,"Upregulated","DEGs_Data_2.csv"
"236360_at",0.002443,-2.9893156,"Downregulated","DEGs_Data_2.csv"
